Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
AB252949.1.1524	6	605.4249132	7296	0.003223124	0	2	0.782318259	0
AB568315.1.1516	3	306.1666667	1112	0.004705727	0	6	0.044901326	0
AB672207.1.1453	5	509.1875269	7952	0.002951617	0	2	0.456352318	0
AB672256.1.1457	18	5841.905205	73435	0.009906425	0	2	4.04197767	0.203703704
AB722236.1.1336	2	0	0	0.002439863	1	4	-0.341659944	0
AB821070.1.1492	2	229.3840494	2152	0.000247548	0	2	-0.521545506	0
AB821087.1.1453	1	0	0	8.06E-99	0	38	0	0
AJ408875.1.1517	1	0	0	0.000705723	0	2	-0.847511447	0
AJ627422.38670.40139	2	2	2	2.17E-76	0	12	1	0
AJ863234.1.1471	2	271.6944349	5093	0.000389435	0	2	-0.521545506	0
AY139002.1.1524	1	0	0	8.06E-99	0	52	0	0
AY212693.1.1482	1	0	0	1.58E-59	0	8	-1.322875656	0
AY214600.8948.10463	1	0	0	0.02959495	0	3	-0.77321177	0
AY491563.1.1527	1	0	0	8.06E-99	0	45	0	0
AY661980.1.1546	4	147.668254	474	0.015616634	0.333333333	6	0.359210604	0
AY673403.1.1431	6	1496.829358	16652	0.002675595	0	2	0.782318259	0
AY741725.1.1482	1	0	0	0.000308195	0	2	-0.847511447	0
AY955091.1.1528	1	0	0	8.06E-99	0	37	0	0
CXWL01043325.321.1765	1	0	0	8.06E-99	0	35	0	0
DQ125578.1.1412	1	0	0	0.013742336	0	3	-0.77321177	0
DQ298763.1.1508	1	0	0	0.000274123	0	4	-0.808595201	0
DQ395983.1.1546	5	173.4383237	2072	0.019541012	0.4	6	0.673519883	0
DQ404622.1.1516	1	0	0	6.14E-05	0	4	-0.808595201	0
DQ404701.1.1547	13	1746.538598	14944	0.03222386	0.115384615	6	3.187994111	0
DQ517952.1.1496	3	911	5240	0.026489316	0	10	1	0.444444444
DQ787718.1.1532	3	9	9	3.86E-59	0.333333333	8	1.322875656	0
EF018554.1.1407	3	9.756611354	180	0.042077078	0.666666667	5	-0.266864417	0.444444444
EF018609.1.1388	1	0	0	0.002987337	0	3	-0.77321177	0
EF018752.1.1386	17	9553.344084	92483	0.084356307	0.058823529	6	3.187994111	0.380622837
EF018876.1.1358	8	2077.201659	15533	0.006303539	0.107142857	4	1.993016341	0.21875
EF019096.1.1407	2	470.3210102	9207	0.011874899	0	6	-0.583717232	0.5
EF019229.1.1331	1	0	0	1.74E-09	0	7	-0.904534034	0
EF019397.1.1385	10	1852.189331	13852	0.13376353	0.133333333	3	0.234569863	0.5
EF019523.1.1370	1	0	0	0.000816654	0	1	-0.612763669	0
EF019555.1.1404	4	73.09286447	1188	0.017979778	0.5	6	0.359210604	0
EF019578.1.1340	3	1805	19493	7.07E-06	0	7	1.507556723	0
EF019695.1.1389	1	0	0	6.47E-05	0	1	-0.612763669	0
EF019814.1.1408	1	0	0	0.001197349	0	2	-0.847511447	0
EF019860.1.1349	1	0	0	0.010407112	0	6	-0.583717232	0
EF020015.1.1359	8	1797.913117	11257	0.001870104	0	0	3.302891295	0.375
EF020258.1.1328	1	0	0	0.001934685	0	1	-0.612763669	0
EF157268.1.1425	1	0	0	0.001222164	0	2	-0.847511447	0
EF492922.1.1528	1	0	0	6.54E-67	0	13	-0.5	0
EF515951.1.1453	1	0	0	0.002707466	0	6	-0.583717232	0
EF516075.1.1495	1	0	0	0.010407112	0	6	-0.583717232	0
EF516309.1.1425	1	0	0	0.000348799	0	1	-0.612763669	0
EF516510.1.1500	2	158.629906	1138	0.000210271	0	1	-0.180815509	0
EF516625.1.1481	1	0	0	8.06E-99	0	46	0	0
EF516838.1.1429	1	0	0	0.010407112	0	6	-0.583717232	0
EF516916.1.1453	1	0	0	7.26E-83	0	18	0	0
EF632938.1.1524	1	0	0	0.000777673	0	4	-0.808595201	0
EF688367.1.1458	1	0	0	0.001502233	0	3	-0.77321177	0
EU025070.1.1531	10	3187.387728	13917	0.010822262	0.044444444	4	2.459951599	0.34
EU131041.1.1519	1	0	0	0.001222164	0	2	-0.847511447	0
EU132237.1.1397	1	0	0	0.001335152	0	4	-0.808595201	0
EU132961.1.1330	1	0	0	0.000777673	0	4	-0.808595201	0
EU133210.1.1367	1	0	0	0.001222164	0	2	-0.847511447	0
EU133614.1.1308	2	94.53887674	688	0.000513898	0	0	0	0
EU134041.1.1317	1	0	0	0.042907602	0	3	-0.77321177	0
EU134340.1.1392	4	328.3571429	1193	0.087577855	0.166666667	3	-0.017375545	0
EU134396.1.1388	1	0	0	0.001472833	0	4	-0.808595201	0
EU135032.1.1341	2	20.91811839	302	0.023821207	0	4	-0.808595201	0.5
EU135124.1.1339	2	46.52243867	145	0.026488046	0	4	-0.808595201	0.5
EU135143.1.1373	2	0	0	0.044238986	1	3	-0.521266362	0
EU135436.1.1354	2	142.3207488	3846	0.000868544	0	0	-0.825722824	0.5
EU135448.1.1387	9	2880.859243	35294	0.010798731	0	2	1.1082842	0.345679012
EU135481.1.1380	1	0	0	1.34E-76	0	12	-1	0
EU135499.1.1401	2	100.4581445	1310	0.018004758	0	3	-0.521266362	0
EU155997.1.1440	1	0	0	8.06E-99	0	38	0	0
EU335150.1.1540	1	0	0	8.06E-99	0	47	0	0
EU335222.1.1517	3	619.6294258	2255	0.024214282	0	3	-0.269320954	0
EU335240.1.1487	8	295.6236309	5291	0.197958317	0.571428571	3	0.990406088	0
EU335265.1.1482	1	0	0	8.06E-99	0	27	0	0
EU335298.1.1525	1	0	0	0.003975486	0	6	-0.583717232	0
EU335320.1.1482	8	1744.788554	10729	0.021945746	0.214285714	6	1.30213844	0.21875
EU335422.1.1525	8	1214.640771	7141	0.013473111	0.178571429	4	1.993016341	0.21875
EU344930.1.1463	2	81.55461255	384	0.011203045	0	2	-0.847511447	0.5
EU545492.1.1538	1	0	0	0.000147373	0	16	0	0
EU861820.1.1488	1	0	0	0.00058055	0	6	-0.583717232	0
EU861850.1.1490	1	0	0	0.003975486	0	6	-0.583717232	0
EU881161.1.1495	1	0	0	0.006453776	0	5	-0.689399745	0
EU881176.1.1524	1	0	0	0.02567673	0	3	-0.77321177	0
EU881196.1.1506	3	441.2173838	2313	0.000279179	0	0	0.825722824	0
EU881280.1.1488	2	0	0	0.006682952	1	6	-0.269407953	0
EU881293.1.1522	1	0	0	8.06E-99	0	46	0	0
EU881356.1.1485	1	0	0	0.003975486	0	6	-0.583717232	0
FJ439860.1.1500	1	0	0	0.00326801	0	10	-1	0
FJ444683.1.1463	5	2577.523156	15645	0.003773714	0	4	0.59221057	0.32
FJ444715.1.1514	2	75.45350149	591	0.000302333	0	0	0	0
FJ466087.1.1346	2	6.531582369	168	0.002759723	0	2	-0.521545506	0
FJ478482.1.1522	4	232.4089442	3306	0.002823999	0	2	0.130386376	0
FJ478897.1.1521	1	0	0	1.39E-08	0	7	-0.904534034	0
FJ479090.1.1513	1	0	0	7.26E-83	0	17	0	0
FJ479179.1.1483	4	0	0	0.137965383	1	3	-0.017375545	0
FJ484765.1.1355	4	412.3099698	2967	0.027177148	0.166666667	5	0.578206237	0
FJ592755.1.1370	2	38.48130661	221	0.000367974	0	0	-0.825722824	0.5
FJ624914.1.1516	4	165.024171	2867	0.00504769	0	2	0.130386376	0
FJ624921.1.1487	4	628.4895252	5518	0.004293875	0	2	0.130386376	0
FJ625370.1.1495	1	0	0	0.003506511	0	1	-0.612763669	0
FJ625379.1.1481	3	182.0397974	1436	0.000876714	0	2	-0.195579565	0
FJ660573.1.1520	1	0	0	8.06E-99	0	39	0	0
FJ713033.1.1487	2	305	2318	0.000497868	0	4	-0.341659944	0
FJ716020.1.1488	1	0	0	8.06E-99	0	33	0	0
FJ872373.13200.14750	1	0	0	4.73E-60	0	8	-1.322875656	0
FJ872375.29511.31045	1	0	0	0.007347146	0	6	-0.583717232	0
FJ901870.1.1258	1	0	0	0.008208554	0	4	-0.808595201	0
FPLL01000336.10.1488	4	816.9199943	5109	0.004183577	0	1	0.683080811	0
FPLL01000956.9.1489	8	3730.89807	35751	0.024263637	0.035714286	1	1.115028971	0.53125
FPLL01001599.1.1409	2	338.1715147	1895	0.000848761	0	1	-0.612763669	0.5
FPLL01002138.3.1535	18	2169.129292	21316	0.347793592	0.163398693	3	3.509860172	0
FPLL01003754.14.1563	6	597.7961349	2250	0.0069139	0.2	4	1.526081084	0
FPLL01003773.13.1488	1	0	0	3.83E-05	0	0	-0.825722824	0
FPLL01004645.16.1553	2	0	0	0.004411245	1	5	-0.266864417	0
FPLL01004960.9.1532	8	285.1289708	2709	0.05913114	0.035714286	5	1.423276892	0.375
FPLL01008426.9.1523	1	0	0	8.73E-07	0	7	-0.904534034	0
FPLL01008488.21.1525	1	0	0	8.06E-99	0	27	0	0
FPLM01000559.10.1453	15	3653.842692	37168	0.015681859	0.019047619	1	3.706717931	0.426666667
FPLP01001352.15.1519	6	825.4350644	2965	0.11139043	0.2	3	0.486515271	0
FPLS01001182.11.1473	1	0	0	0.010407112	0	6	-0.583717232	0
FPLS01001342.16.1549	1	0	0	0.003506511	0	1	-0.612763669	0
FPLS01006445.17.1523	2	1	1	1.45E-82	0	20	0	0
